age,capital-gain,capital-loss,hours-per-week,workclass_n,education_n,marital-status_n,occupation_n,relationship_n,race_n,gender_n,native-country_n,income_n
39,2174,0,40,6,9,4,1,1,4,1,38,0
50,0,0,13,5,9,2,4,0,4,1,38,0
38,0,0,40,3,11,0,6,1,4,1,38,0
53,0,0,40,3,1,2,6,0,2,1,38,0
28,0,0,40,3,9,2,10,5,2,0,4,0
37,0,0,40,3,12,2,4,5,4,0,38,0
49,0,0,16,3,6,3,8,1,2,0,22,0
52,0,0,45,5,11,2,4,0,4,1,38,1
31,14084,0,50,3,12,4,10,1,4,0,38,1
42,5178,0,40,3,9,2,4,0,4,1,38,1
37,0,0,80,3,15,2,4,0,2,1,38,1
30,0,0,40,6,9,2,10,0,1,1,18,1
23,0,0,30,3,9,4,1,3,4,0,38,0
32,0,0,50,3,7,4,12,1,2,1,38,0
40,0,0,40,3,8,2,3,0,1,1,38,1
34,0,0,45,3,5,2,14,0,0,1,25,0
25,0,0,35,5,11,4,5,3,4,1,38,0
32,0,0,40,3,11,4,7,4,4,1,38,0
38,0,0,50,3,1,2,12,0,4,1,38,0
43,0,0,45,5,12,0,4,4,4,0,38,1
40,0,0,60,3,10,2,10,0,4,1,38,1
54,0,0,20,3,11,5,8,4,2,0,38,0
35,0,0,40,0,6,2,5,0,2,1,38,0
43,0,2042,40,3,1,2,14,0,4,1,38,0
59,0,0,40,3,11,0,13,4,4,0,38,0
56,0,0,40,1,9,2,13,0,4,1,38,1
19,0,0,40,3,11,4,3,3,4,1,38,0
54,0,0,60,7,15,2,0,0,1,1,34,1
39,0,0,80,3,11,0,4,1,4,1,38,0
49,0,0,40,3,11,2,3,0,4,1,38,0
23,0,0,52,1,7,4,11,1,4,1,38,0
20,0,0,44,3,15,4,12,3,2,1,38,0
45,0,1408,40,3,9,0,4,3,4,1,38,0
30,0,0,40,0,15,2,1,3,4,1,38,0
22,0,0,15,6,15,2,8,0,2,1,38,0
48,0,0,40,3,1,4,7,4,4,1,32,0
21,0,0,40,3,15,4,7,3,4,1,38,0
19,0,0,25,3,11,1,1,5,4,0,38,0
31,0,0,38,3,15,2,12,0,4,1,38,1
48,0,0,40,5,7,2,10,0,4,1,38,0
31,0,0,43,3,6,2,7,0,4,1,38,0
53,0,0,40,5,9,2,10,0,4,1,38,0
24,0,0,50,3,9,2,13,0,4,1,38,0
49,0,0,40,3,11,5,1,4,4,0,38,0
25,0,0,35,3,11,4,6,1,4,1,38,0
